Time,FR
2024/12/6 20:00,NaN
2024/12/6 20:10,NaN
2024/12/6 20:20,NaN
2024/12/6 20:30,NaN
2024/12/6 20:40,NaN
2024/12/6 20:50,NaN
2024/12/6 21:00,NaN
2024/12/6 21:10,NaN
2024/12/6 21:20,NaN
2024/12/6 21:30,NaN
2024/12/6 21:40,NaN
2024/12/6 21:50,NaN
2024/12/6 22:00,NaN
2024/12/6 22:10,NaN
2024/12/6 22:20,NaN
2024/12/6 22:30,NaN
2024/12/6 22:40,NaN
2024/12/6 22:50,NaN
2024/12/6 23:00,NaN
2024/12/6 23:10,NaN
2024/12/6 23:20,NaN
2024/12/6 23:30,NaN
2024/12/6 23:40,NaN
2024/12/6 23:50,NaN
2024/12/7 0:00,NaN
2024/12/7 0:10,NaN
2024/12/7 0:20,NaN
2024/12/7 0:30,0
2024/12/7 0:40,0.638098812
2024/12/7 0:50,0.05750442
2024/12/7 1:00,0
2024/12/7 1:10,0.021790659
2024/12/7 1:20,0.666662433
2024/12/7 1:30,0.227840877
2024/12/7 1:40,0.624282208
2024/12/7 1:50,0.87386962
2024/12/7 2:00,0.880194464
2024/12/7 2:10,0.740647953
2024/12/7 2:20,0.871954209
2024/12/7 2:30,0.332065667
2024/12/7 2:40,0.432234212
2024/12/7 2:50,0.503039669
2024/12/7 3:00,0.461424809
2024/12/7 3:10,0.517472549
2024/12/7 3:20,NaN
2024/12/7 3:30,NaN
2024/12/7 3:40,NaN
2024/12/7 3:50,NaN
2024/12/7 4:00,NaN
2024/12/7 4:10,NaN
2024/12/7 4:20,NaN
2024/12/7 4:30,NaN
2024/12/7 4:40,NaN
2024/12/7 4:50,NaN
2024/12/7 5:00,NaN
2024/12/7 5:10,NaN
2024/12/7 5:20,NaN
2024/12/7 5:30,NaN
2024/12/7 5:40,NaN
2024/12/7 5:50,NaN
2024/12/7 6:00,NaN
2024/12/7 6:10,NaN
2024/12/7 6:20,NaN
2024/12/7 6:30,NaN
2024/12/7 6:40,NaN
2024/12/7 6:50,NaN
2024/12/7 7:00,NaN
2024/12/7 7:10,NaN
2024/12/7 7:20,NaN
2024/12/7 7:30,NaN
2024/12/7 7:40,NaN
2024/12/7 7:50,NaN
2024/12/7 8:00,NaN
2024/12/7 8:10,NaN
2024/12/7 8:20,NaN
2024/12/7 8:30,NaN
2024/12/7 8:40,NaN
2024/12/7 8:50,NaN
2024/12/7 9:00,NaN
2024/12/7 9:10,NaN
2024/12/7 9:20,NaN
2024/12/7 9:30,NaN
2024/12/7 9:40,NaN
2024/12/7 9:50,NaN
2024/12/7 10:00,0.016240379
2024/12/7 10:10,0.355984874
2024/12/7 10:20,0.246301937
2024/12/7 10:30,0.371466271
2024/12/7 10:40,0.406479964
2024/12/7 10:50,0.507302197
2024/12/7 11:00,0.25352685
2024/12/7 11:10,0.405413097
2024/12/7 11:20,0.602996219
2024/12/7 11:30,0.791328624
2024/12/7 11:40,0.769545995
2024/12/7 11:50,NaN
2024/12/7 12:00,NaN
2024/12/7 12:10,NaN
2024/12/7 12:20,NaN
2024/12/7 12:30,NaN
2024/12/7 12:40,0.767471525
2024/12/7 12:50,0.74366732
2024/12/7 13:00,0.678098561
2024/12/7 13:10,0.620096983
2024/12/7 13:20,0.724774216
2024/12/7 13:30,0.743028255
2024/12/7 13:40,0.594181877
2024/12/7 13:50,0.399971555
2024/12/7 14:00,0.188271687
2024/12/7 14:10,0.462334434
2024/12/7 14:20,0.354209694
2024/12/7 14:30,0.382986123
2024/12/7 14:40,0.275163844
2024/12/7 14:50,0.38950623
2024/12/7 15:00,0.602732984
2024/12/7 15:10,0.611686435
2024/12/7 15:20,0.599903053
2024/12/7 15:30,0.645436507
2024/12/7 15:40,0.620915211
2024/12/7 15:50,0.717056468
2024/12/7 16:00,NaN
2024/12/7 16:10,NaN
2024/12/7 16:20,NaN
2024/12/7 16:30,NaN
2024/12/7 16:40,NaN
2024/12/7 16:50,NaN
2024/12/7 17:00,NaN
2024/12/7 17:10,NaN
2024/12/7 17:20,NaN
2024/12/7 17:30,NaN
2024/12/7 17:40,NaN
2024/12/7 17:50,NaN
